Agent1	Agent2	wrTu1sq	wrTu1ac1	wrTu1ac2	wrTu1neg	wrTu1cp1	wrTu1cp2	wrTu1wr1	wrTu1wr2	wrTu2sq	wrTu2ac2	wrTu2ac1	wrTu2neg	wrTu2cp2	wrTu2cp1	wrTu2wr2	wrTu2wr1	predicted	groundtruth
RUS	GBR	0.153541	-1.145657	1.358302	-0.395832	-1.846201	1.312323	-0.792083	-1.142355	0.530422	-0.930181	1.626211	-0.058828	-1.589329	1.573876	-0.440737	-0.770311	SQ	Cap2
FRA	GBR	0.451222	-0.85222	1.500006	-0.585957	-1.739024	1.44893	-1.080436	-1.523838	0.99932	-0.441009	1.808031	0.193217	-1.15901	1.680787	-0.293028	-0.652028	SQ	Acq1
FRA	DEU	0.451222	-0.942258	1.555225	-0.528669	-1.776656	1.480502	-1.020592	-1.437791	0.336359	-1.011187	1.475112	0.282189	-1.490985	1.240386	-0.192437	-0.432336	SQ	Acq1
FRA	xxx	0.451222	-0.985398	1.580898	-0.60629	-1.837672	1.514241	-1.099084	-1.525221	0.239528	-1.105692	1.431657	0.41875	-1.504891	1.160563	-0.051944	-0.251543	Nego	Acq1
FRA	RUS	0.451222	-0.824384	1.48249	-0.652854	-1.750028	1.448939	-1.149227	-1.612049	0.776106	-0.590735	1.688435	0.573974	-1.079712	1.45785	0.098901	-0.145588	SQ	Acq1
ESP	PRT	0.626222	-0.646827	1.571251	-0.482592	-1.572783	1.524883	-0.991938	-1.454916	0.643036	-0.634262	1.582143	0.792117	-0.990707	1.179135	0.210886	0.032664	Nego	Nego
xxx	xxx	0.0292	-1.188462	1.230332	0.210554	-1.610067	1.213443	-0.017137	-0.22794	0.191283	-1.101997	1.369734	-0.240588	-1.753493	1.359558	-0.576512	-0.90226	Nego	Acq1
GBR	xxx	0.062442	-1.062646	1.158054	0.582561	-1.321795	1.111794	0.406726	0.277152	0.139682	-1.017092	1.22856	-0.587963	-1.825999	1.216628	-1.004349	-1.408802	Nego	Acq1
FRA	xxx	0.156061	-0.960511	1.202476	0.324187	-1.366565	1.109784	0.028468	-0.174559	0.139682	-0.970702	1.187654	-0.357592	-1.686639	1.143322	-0.759892	-1.11786	Nego	Acq1
DEU	DNK	0.289255	-0.999538	1.411336	0.523494	-1.367803	1.228603	0.156629	-0.027503	0.199807	-1.051793	1.339608	-0.482839	-1.813876	1.270789	-0.9327	-1.313741	Nego	War1
xxx	ITA	0.084866	-0.837217	0.980607	0.099434	-1.321958	0.936879	-0.186665	-0.429035	0.085836	-0.836547	0.981565	-0.053423	-1.405812	0.945011	-0.374611	-0.659244	Nego	War1
xxx	xxx	0.150941	-1.123995	1.336519	-0.418761	-1.837374	1.293256	-0.818713	-1.175403	0.084866	-1.159331	1.280001	0.412937	-1.514782	1.182712	0.137922	-0.039804	Nego	War1
GBR	RUS	0.048948	-1.070485	1.145398	0.002963	-1.586052	1.121686	-0.278532	-0.536316	0.080293	-1.052221	1.174642	-0.065078	-1.608932	1.152944	-0.365133	-0.643488	SQ	Acq1
FRA	RUS	0.057221	-1.021197	1.110871	-0.387842	-1.724135	1.093873	-0.756309	-1.107778	0.080293	-1.007203	1.132718	0.364534	-1.36618	1.096038	0.148366	-0.031123	Nego	Acq1
xxx	xxx	-0.008128	-1.074097	1.061363	0.755252	-1.217444	1.068326	0.690541	0.618868	0.156376	-0.975332	1.215828	-0.711864	-1.855091	1.216805	-1.150766	-1.590646	Nego	War1
xxx	xxx	-0.008128	-1.074097	1.061363	0.765084	-1.21284	1.068364	0.702713	0.633342	0.419091	-0.805603	1.432509	-0.605076	-1.716007	1.433237	-1.05955	-1.514751	Nego	Cap2
GBR	GRC	0.031295	-1.049939	1.098775	0.821665	-1.178904	1.071515	0.729923	0.66544	0.333693	-0.861457	1.365283	-0.672791	-1.77673	1.362632	-1.133079	-1.590716	Nego	Cap2
DEU	xxx	0.355676	0.354622	0.35673	0.35662	0.302279	0.019671	-0.00661	-0.032782	0.865124	0.864093	0.866155	0.8642	-0.083688	0.847582	0.371737	-0.102153	Nego	Cap2
DEU	xxx	0.355676	0.203925	0.5044	0.318475	-0.414847	0.368807	-0.126505	-0.435891	0.091179	-0.054328	0.235989	0.115668	-0.468773	0.027721	-0.299822	-0.507045	Acq2	War1
FRA	TUR	-0.362997	-1.305047	0.723496	0.347102	-1.490596	1.01914	0.54997	0.457195	-0.133082	-1.184633	0.977751	-0.31592	-1.782894	1.123581	-0.469221	-0.768351	War1	Acq1
xxx	ITA	0.088718	-1.131722	1.259995	0.425522	-1.480623	1.202231	0.193307	0.018856	0.120384	-1.114433	1.28771	-0.426626	-1.828102	1.262307	-0.808863	-1.165698	Nego	Cap2
xxx	TUR	0.200474	-1.11332	1.390393	0.327198	-1.537967	1.27505	-0.000469	-0.212792	-0.142524	-1.288478	1.08062	-0.338081	-1.887314	1.000197	-0.717922	-1.01734	Nego	Acq1
RUS	TUR	-0.204463	-1.272275	0.961316	0.632578	-1.419454	1.135686	0.733358	0.659768	-0.142524	-1.240994	1.026191	-0.610883	-1.963068	1.083016	-0.915094	-1.27613	Acq2	War1
xxx	RUS	0.314368	-1.036532	1.467798	0.169314	-1.555027	1.316428	-0.241303	-0.500551	0.118704	-1.144761	1.312298	-0.37023	-1.829534	1.213201	-0.811714	-1.1541	SQ	Nego
GRC	GBR	0.090134	-1.046462	1.183724	-0.984971	-2.01889	1.181239	-1.47367	-1.959884	0.801467	-0.566004	1.700215	1.539994	-0.636703	1.616454	1.420882	1.385532	Nego	Cap2
GRC	TUR	-0.814985	-1.612835	0.313601	-1.138801	-2.366767	0.514143	-1.315225	-1.692191	0.872724	-0.771319	1.822208	1.25589	-0.989678	2.459234	1.783737	1.674558	War1	War1
DEU	CHE	-0.01378	-1.150956	1.130267	0.333985	-1.500015	1.139237	0.168425	-0.006104	0.041455	-1.120637	1.182419	-0.335461	-1.779709	1.187117	-0.660299	-0.989835	Nego	Nego
PRT	FRA	0.094573	-0.572463	0.746421	-0.525963	-1.537206	0.743087	-1.01167	-1.494041	0.169446	-0.511805	0.822632	0.765032	-0.554969	0.732141	0.652959	0.631377	Nego	Cap2
xxx	ITA	-0.082223	-1.050586	0.916087	-0.024652	-1.528926	0.958979	-0.22093	-0.460101	0.578652	-0.603508	1.494942	0.052003	-1.29113	1.520627	-0.266123	-0.609934	Nego	War1
FRA	ITA	0.464074	-0.771496	1.463827	0.983245	-0.986491	1.099527	0.511447	0.40395	0.04034	-1.042807	1.105754	-0.838649	-1.947786	1.061657	-1.335235	-1.787725	Nego	Acq1
ITA	xxx	0.04034	-1.012548	1.076517	0.60529	-1.238116	1.045276	0.461264	0.34848	0.242684	-0.88488	1.261772	-0.59439	-1.749558	1.256313	-1.032188	-1.464527	Nego	War1
ITA	xxx	0.04034	-1.012548	1.076517	0.254676	-1.405949	1.052046	0.033505	-0.163196	0.125451	-0.959864	1.157031	-0.304	-1.65004	1.144533	-0.661586	-1.006674	Nego	War1
DEU	DNK	0.107132	-1.148158	1.299915	0.622001	-1.425076	1.22245	0.406078	0.267619	0.10013	-1.151881	1.293868	-0.602045	-1.927068	1.269783	-1.013723	-1.401316	Nego	War1
DEU	xxx	0.118051	0.117028	0.119075	0.118944	0.053111	0.008569	-0.02352	-0.055479	0.654977	0.653919	0.656034	0.654054	-0.282259	0.6485	0.178431	-0.289658	Nego	Acq1
DEU	xxx	0.118051	0.117028	0.119075	0.118844	0.004194	0.014344	-0.042304	-0.098721	0.6184	0.61734	0.619459	0.617579	-0.269977	0.606157	0.160618	-0.283041	Nego	Acq1
DEU	xxx	0.118051	0.117028	0.119075	0.118844	0.004194	0.014344	-0.042304	-0.098721	0.6184	0.61734	0.619459	0.617579	-0.269977	0.606157	0.160618	-0.283041	Nego	Acq1
xxx	DEU	0.063134	-0.099564	0.225229	0.175969	-0.25123	0.17167	0.046578	-0.029255	0.08353	-0.079902	0.246157	-0.033449	-0.937435	0.237163	-0.47121	-0.899977	Nego	War1
FRA	ITA	0.130942	-0.462709	0.708041	0.444644	-0.687691	0.606558	0.23067	0.118179	0.050953	-0.529386	0.625067	-0.305329	-1.335305	0.599654	-0.733702	-1.136662	Nego	Acq1
DEU	FRA	0.156791	-0.900053	1.150646	-0.420105	-1.666012	1.11395	-0.83978	-1.22276	0.130942	-0.916864	1.126656	0.42234	-1.261522	1.023904	0.147259	-0.02507	Nego	Acq1
GRC	TUR	-0.756781	-1.478212	0.186776	-0.417213	-1.840971	0.669028	-0.11634	-0.297719	-0.018322	-1.09391	1.065392	0.24622	-1.473279	1.535074	0.526218	0.336534	War1	Acq1
GRC	TUR	0.084314	-1.033866	1.163527	-0.437016	-1.762249	1.140625	-0.824109	-1.1883	0.223711	-0.949006	1.28762	0.482485	-1.308983	1.233657	0.248534	0.068545	Nego	War1
FRA	DEU	0.249529	-0.856805	1.248688	0.413256	-1.253592	1.098169	0.064344	-0.134049	0.066119	-0.975131	1.08085	-0.424596	-1.707359	1.014033	-0.857527	-1.223641	Nego	War1
FRA	DEU	0.221593	-0.508325	0.90969	0.296672	-0.940632	0.783894	-0.045278	-0.261432	0.222278	-0.507768	0.910363	-0.081791	-1.207389	0.843802	-0.498164	-0.847974	Nego	Acq1
DEU	FRA	0.222278	-0.507768	0.910363	-0.081791	-1.207389	0.843596	-0.498369	-0.84818	0.221593	-0.508325	0.90969	0.296672	-0.940632	0.783505	-0.045667	-0.26182	Nego	Acq1
GBR	RUS	0.083485	-0.947377	1.081743	0.03433	-1.463567	1.041352	-0.264156	-0.522251	0.537111	-0.634823	1.464989	-0.110229	-1.384994	1.444132	-0.506172	-0.881257	SQ	Acq1
GBR	TUR	-0.070581	-1.195678	1.08984	0.745159	-1.346489	1.149776	0.729691	0.654285	-0.001266	-1.158795	1.156915	-0.760117	-1.986633	1.169067	-1.161884	-1.575803	Nego	Acq1
DEU	TUR	0.140582	-1.075194	1.280648	0.735459	-1.306613	1.172599	0.511701	0.395991	-0.001266	-1.153778	1.151892	-0.729929	-1.969949	1.126049	-1.163858	-1.571943	Nego	Acq1
