Agent1	Agent2	wrTu1sq	wrTu1ac1	wrTu1ac2	wrTu1neg	wrTu1cp1	wrTu1cp2	wrTu1wr1	wrTu1wr2	wrTu2sq	wrTu2ac2	wrTu2ac1	wrTu2neg	wrTu2cp2	wrTu2cp1	wrTu2wr2	wrTu2wr1	predicted	groundtruth
GBR	PRT	-0.043673	-0.368249	0.282577	0.173279	-0.536187	0.318916	0.125649	0.04168	-0.000033	-0.328685	0.32862	-0.21634	-1.157767	0.336084	-0.623416	-1.037957	Nego	Acq1
GBR	GRC	-0.043673	-1.167603	1.101783	0.786394	-1.306578	1.139387	0.75451	0.685022	0.109999	-1.08273	1.245131	-0.780646	-1.952961	1.250799	-1.210095	-1.64521	Nego	Cap2
GBR	RUS	-0.043673	-1.231887	1.168831	0.024545	-1.70853	1.191687	-0.190919	-0.429241	0.386353	-0.998319	1.521778	-0.235718	-1.695711	1.534994	-0.571198	-0.919894	Nego	Acq1
GBR	TUR	-0.144778	-1.259984	1.044313	0.674066	-1.42066	1.165828	0.715243	0.634904	-0.183285	-1.27908	1.004441	-0.66928	-2.012036	1.043103	-0.997097	-1.363575	Acq2	Cap2
FRA	GRC	0.208139	-0.961373	1.276495	0.795211	-1.176437	1.11312	0.524304	0.416772	0.109999	-1.021085	1.189503	-0.688531	-1.870648	1.158191	-1.144624	-1.569406	Nego	Cap2
FRA	TUR	-0.047474	-1.174667	1.103309	0.73856	-1.334787	1.143182	0.698373	0.618313	-0.183285	-1.245809	0.965042	-0.695121	-1.996725	0.976867	-1.058754	-1.434212	Nego	Cap2
DEU	GRC	0.178168	-1.027957	1.291177	0.940572	-1.179136	1.139944	0.713749	0.638159	0.109999	-1.06759	1.231505	-0.813956	-1.957271	1.21185	-1.278452	-1.723292	Nego	Cap2
DEU	TUR	-0.048788	-1.218747	1.147473	0.793251	-1.368446	1.188957	0.759886	0.685036	-0.183285	-1.285909	1.012563	-0.76742	-2.060329	1.023568	-1.143624	-1.530834	Nego	Cap2
xxx	GRC	0.675789	-0.727162	1.659162	1.152752	-0.939376	1.126785	0.514268	0.408161	0.109999	-1.084926	1.247106	-0.870951	-1.993171	1.185099	-1.387081	-1.841203	Nego	Cap2
xxx	TUR	0.59221	-0.894632	1.663957	0.778332	-1.240771	1.276734	0.218039	0.04497	-0.183285	-1.316028	1.04853	-0.867382	-2.126291	0.936166	-1.384878	-1.790009	Nego	Cap2
ITA	GRC	0.545125	-0.817548	1.579671	1.094831	-1.019799	1.144798	0.558832	0.457707	0.109999	-1.084926	1.247106	-0.851062	-1.984643	1.192439	-1.355587	-1.805445	Nego	Cap2
ITA	TUR	0.283508	-1.077952	1.462206	0.791327	-1.342061	1.253575	0.450641	0.318587	-0.183285	-1.316028	1.04853	-0.773215	-2.086466	0.983448	-1.223517	-1.608736	Nego	Cap2
RUS	GRC	0.386353	-0.847479	1.421151	0.875756	-1.087886	1.12768	0.462081	0.341878	0.109999	-1.021085	1.189503	-0.716853	-1.88346	1.136331	-1.201212	-1.6324	Nego	Cap2
RUS	TUR	0.237551	-1.014625	1.35838	0.749067	-1.271394	1.181825	0.444127	0.315743	-0.183285	-1.245809	0.965042	-0.722004	-2.008885	0.908761	-1.159823	-1.541361	Nego	Cap2
GBR	FRA	0.007107	-1.141642	1.152268	-0.065903	-1.672687	1.148936	-0.334758	-0.600281	0.180394	-1.044105	1.30772	-0.051754	-1.622156	1.304721	-0.343778	-0.632803	SQ	Nego
GBR	TUR	-0.113255	-1.154892	0.977318	0.46207	-1.396541	1.063205	0.427132	0.306307	-0.107692	-1.1518	0.983064	-0.436172	-1.816589	1.021029	-0.730602	-1.062997	Nego	Cap2
GBR	DEU	-0.190466	-1.312167	1.03237	-0.037434	-1.768464	1.135927	-0.162025	-0.390173	0.104141	-1.165599	1.311557	0.110174	-1.650583	1.409649	-0.034225	-0.276717	Nego	Cap2
RUS	TUR	0.328995	-0.879186	1.372243	0.792191	-1.136823	1.12801	0.419139	0.290321	-0.398518	-1.299091	0.648513	-0.719133	-2.001311	0.550545	-1.168211	-1.519321	Nego	Acq1
xxx	ITA	0.612972	0.506578	0.716618	0.607955	-0.010765	0.420763	0.053428	-0.205243	0.676814	0.570624	0.779912	0.659668	-0.003915	0.519117	0.111603	-0.175667	SQ	Acq1
RUS	GBR	0.244824	-1.084012	1.421333	-0.049527	-1.6711	1.320243	-0.444162	-0.737706	-0.063145	-1.245504	1.154308	-0.051699	-1.748046	1.032518	-0.42476	-0.676031	Nego	Cap2
GBR	TUR	-0.134718	-1.175209	0.964461	0.352192	-1.46136	1.060629	0.305285	0.16221	-0.293127	-1.2599	0.791999	-0.257455	-1.771355	0.857814	-0.447367	-0.703094	Nego	Cap2
FRA	TUR	0.136543	-1.10921	1.304823	0.645883	-1.382172	1.205551	0.41013	0.273649	-0.293127	-1.329418	0.881799	-0.595896	-1.997691	0.836504	-0.975327	-1.309463	Nego	Cap2
xxx	TUR	0.377563	-0.983841	1.502738	0.84671	-1.247669	1.224787	0.436845	0.304932	-0.293127	-1.338715	0.893976	-0.80367	-2.099074	0.803496	-1.274329	-1.654508	Nego	Cap2
ITA	TUR	0.523981	-0.937376	1.624038	0.664587	-1.311954	1.296329	0.149589	-0.0377	-0.293127	-1.366827	0.931053	-0.703435	-2.07813	0.779781	-1.210359	-1.56601	Nego	Cap2
RUS	TUR	0.247533	-0.966725	1.333569	0.994208	-1.114254	1.122554	0.709428	0.635664	-0.445416	-1.34715	0.626007	-0.934121	-2.137826	0.574192	-1.381273	-1.776611	Nego	Cap2
TUR	GBR	-0.438832	-1.349	0.641363	-0.801067	-2.073707	0.76217	-1.042614	-1.404967	-0.046954	-1.144875	1.073004	0.761577	-1.285291	1.450217	1.06858	0.998372	War1	Cap2
FRA	ESP	0.502527	0.242318	0.750033	0.603033	-0.047215	0.393004	0.101237	-0.043529	0.294039	0.039715	0.541461	0.151733	-0.737029	0.429268	-0.348832	-0.737203	Nego	War1
ITA	TUR	0.689738	-0.830976	1.716573	0.753923	-1.208849	1.287468	0.135881	-0.053055	-0.291406	-1.366044	0.932954	-0.855409	-2.143932	0.779755	-1.397552	-1.786496	Nego	Acq1
xxx	xxx	0.0724	-1.127558	1.233379	-0.956484	-2.055098	1.228133	-1.4255	-1.88927	0.605454	-0.804294	1.631503	1.154916	-0.999954	1.573269	0.998852	0.901023	Nego	War1
TUR	BGR	-0.455145	-1.324889	0.575165	0.139681	-1.554085	0.925993	0.375911	0.261314	0.017071	-1.0665	1.093063	-0.24576	-1.686451	1.266041	-0.382758	-0.692733	War1	Cap2
TUR	GRC	-0.448919	-1.303452	0.556996	-0.110984	-1.662495	0.844734	-0.002767	-0.182289	0.023949	-1.038325	1.076053	0.029078	-1.533494	1.302681	0.008122	-0.239463	War1	Acq1
TUR	ITA	-0.462603	-1.368426	0.623637	-1.002787	-2.184878	0.708547	-1.326103	-1.734329	0.70104	-0.68541	1.662902	1.110567	-0.920615	2.016698	1.346761	1.229159	War1	Cap2
DEU	FRA	0.303691	-0.715085	1.21306	0.061979	-1.312074	1.090669	-0.358906	-0.6574	0.40619	-0.639715	1.300742	-0.064161	-1.343108	1.210665	-0.505934	-0.85763	SQ	Acq1
DEU	NOR	0.303691	-0.93497	1.381322	0.945551	-1.123104	1.134766	0.604928	0.510861	0.003138	-1.112943	1.117727	-0.822527	-1.982751	1.078189	-1.296969	-1.731873	Nego	Acq1
xxx	ITA	0.618816	0.511545	0.723261	0.590442	-0.115799	0.492655	0.046165	-0.267507	0.703324	0.596397	0.806962	0.711507	0.143068	0.468673	0.146554	-0.080111	Nego	Acq1
ITA	GBR	0.703324	-0.780966	1.706522	-0.273729	-1.577051	1.563103	-0.81519	-1.213232	0.023861	-1.185969	1.220338	-0.189875	-1.772018	0.929195	-0.774042	-1.067066	SQ	Cap2
ITA	FRA	0.703324	-0.148902	1.379421	0.332272	-0.834064	1.157988	-0.231742	-0.574323	0.40619	-0.407909	1.126992	0.043188	-1.114015	0.92029	-0.516567	-0.869621	SQ	Acq1
ITA	TUR	0.581735	-0.901286	1.657997	0.79505	-1.238469	1.272413	0.240874	0.072283	-0.276128	-1.359077	0.949751	-0.856413	-2.141363	0.823099	-1.374208	-1.765351	Nego	War1
xxx	xxx	0.641801	-0.779445	1.652881	1.171687	-0.977278	1.138049	0.557939	0.459023	0.006298	-1.163302	1.172593	-0.983425	-2.086297	1.123171	-1.494345	-1.955842	Nego	Acq1
xxx	RUS	0.641801	-0.498191	1.507645	-0.012507	-1.256056	1.352243	-0.546842	-0.925775	0.483964	-0.620798	1.390634	0.003317	-1.310514	1.191493	-0.540682	-0.88554	SQ	Acq1
ITA	FRA	0.670288	-0.17893	1.35305	0.326917	-0.848738	1.131727	-0.229311	-0.564215	0.403519	-0.410134	1.12457	0.031664	-1.122262	0.931613	-0.517357	-0.873421	SQ	Cap2
BGR	TUR	-0.113267	-1.160033	0.982966	-0.213874	-1.718521	1.032975	-0.443109	-0.722353	-0.43556	-1.330153	0.62077	0.181001	-1.555569	0.708505	0.156028	0.04332	Nego	War1
RUS	BGR	0.483964	-0.91729	1.573985	1.33178	-1.014511	1.137073	0.846257	0.797647	-0.113267	-1.250181	1.082944	-1.127732	-2.197698	1.057544	-1.62689	-2.100649	Nego	Acq1
xxx	xxx	0.646845	-0.835647	1.683392	0.641261	-1.249349	1.304148	0.055166	-0.151685	0.180864	-1.114904	1.367192	-0.876268	-2.018761	1.305002	-1.390386	-1.842314	SQ	Acq1
BGR	xxx	-0.199197	-0.200146	-0.198248	-0.198499	-0.332401	-0.025396	-0.091774	-0.157901	0.180864	0.17983	0.181898	0.180104	-0.687909	0.208244	-0.22742	-0.661289	Acq2	War1
GBR	NLD	0.053216	-1.090562	1.170893	0.623576	-1.332581	1.130556	0.462229	0.34122	-0.061915	-1.154826	1.05997	-0.613345	-1.910343	1.04696	-1.004114	-1.381872	Nego	Cap2
CHE	DEU	0.017452	-1.115261	1.141654	-0.868765	-2.006043	1.139748	-1.316062	-1.761453	0.270874	-0.967157	1.364046	1.009276	-1.11934	1.34925	0.918389	0.842297	Nego	Acq1
CHE	xxx	0.017452	-1.115261	1.141654	-0.859873	-2.002103	1.13968	-1.305269	-1.74869	0.587512	-0.760935	1.59185	1.095884	-0.971735	1.578077	0.976711	0.871311	Nego	Acq1
PRT	DEU	0.195368	-1.075153	1.352981	-0.463165	-1.823112	1.303741	-0.886385	-1.260365	0.270874	-1.032038	1.413276	0.294996	-1.489354	1.307253	-0.039685	-0.268343	Nego	War1
DEU	NLD	0.270874	-0.967157	1.364046	0.917077	-1.15889	1.145108	0.602272	0.506406	-0.061915	-1.159117	1.064507	-0.827798	-2.010117	1.024147	-1.293658	-1.719159	Nego	Cap2
DEU	SWE	0.270874	-0.967157	1.364046	0.907115	-1.163164	1.146265	0.591331	0.493327	-0.092998	-1.175996	1.033308	-0.824324	-2.016818	0.990191	-1.287853	-1.708264	Nego	Cap1
DEU	NOR	0.270874	-0.967157	1.364046	0.973699	-1.134602	1.138528	0.66446	0.580738	0.030823	-1.107762	1.154297	-0.836033	-1.987637	1.121758	-1.308509	-1.748447	Nego	Nego
xxx	xxx	0.587512	-0.836063	1.630692	1.156434	-1.028323	1.156135	0.585747	0.489617	-0.014281	-1.188856	1.167929	-0.973302	-2.097395	1.114195	-1.481306	-1.935575	Nego	War1
ITA	xxx	0.728498	0.476086	0.962497	0.794729	0.131176	0.485265	0.145042	-0.027413	0.587512	0.335006	0.825749	0.445589	-0.439655	0.66159	-0.1059	-0.493231	Acq2	Cap2
ITA	ALB	0.728498	-0.655213	1.674048	1.486715	-0.735638	1.004139	0.776594	0.736381	0.122767	-1.052071	1.235613	-0.969475	-2.015967	1.209311	-1.477725	-1.959673	Nego	Cap2
GRC	BGR	-0.079647	-1.175897	1.05444	-0.898681	-2.051604	1.06434	-1.326635	-1.764488	0.026024	-1.118016	1.157149	0.891622	-1.234723	1.227501	0.903621	0.845268	Acq1	Acq1
GRC	TUR	-0.828427	-1.559026	0.174258	-0.851968	-2.151097	0.512198	-0.810063	-1.106099	0.22149	-1.043844	1.361055	0.784699	-1.283504	1.990942	1.294756	1.174927	War1	Acq2
BGR	xxx	0.026024	-1.118016	1.157149	0.911793	-1.225857	1.133932	0.834656	0.780735	-0.014281	-1.140324	1.118735	-0.899938	-2.033914	1.115966	-1.349503	-1.796298	Nego	Cap2
ROU	DEU	0.708003	0.565802	0.844394	0.693081	0.022669	0.52093	0.098052	-0.173515	0.270874	0.131555	0.40827	0.265062	-0.385974	0.066679	-0.335293	-0.594058	SQ	Cap2
ROU	TUR	0.708003	-0.303605	1.476985	1.039319	-0.549403	0.943008	0.382443	0.259544	0.026637	-0.83287	0.878868	-0.642342	-1.721563	0.800062	-1.165494	-1.60984	Nego	Cap2
RUS	NLD	0.474885	-0.824002	1.508907	1.22263	-0.946714	1.092296	0.744663	0.683306	-0.061915	-1.148849	1.053653	-0.982613	-2.073373	1.01781	-1.480718	-1.94298	Nego	Cap2
NOR	GBR	0.030823	-1.103248	1.14991	-0.731018	-1.938044	1.144818	-1.153508	-1.570907	0.053216	-1.090562	1.170893	0.76319	-1.270845	1.145626	0.647782	0.557641	Nego	Cap1
DNK	DEU	0.013964	-1.117212	1.138339	-0.864928	-2.005362	1.136778	-1.310565	-1.75464	0.270874	-0.967157	1.364046	1.000941	-1.122916	1.352257	0.911273	0.833394	Nego	Acq1
GBR	SWE	0.308034	-0.959089	1.404492	1.060754	-1.10452	1.141256	0.724802	0.652086	-0.135367	-1.210468	1.003114	-0.955789	-2.095415	0.967673	-1.433702	-1.876176	Nego	Cap2
DEU	ESP	0.195919	-1.155113	1.418479	-0.009232	-1.709867	1.331246	-0.373841	-0.651218	0.327137	-1.084908	1.515673	-0.298422	-1.782481	1.456421	-0.706459	-1.055246	SQ	Cap2
DEU	NOR	0.195919	-1.030531	1.31706	1.103553	-1.121478	1.138959	0.879979	0.834505	-0.019108	-1.151851	1.123105	-0.986093	-2.078989	1.10883	-1.463937	-1.927506	Nego	Cap2
DEU	DNK	0.195919	-1.030531	1.31706	1.118232	-1.115225	1.137734	0.896559	0.854212	-0.046308	-1.166587	1.096665	-1.009524	-2.09719	1.083069	-1.488422	-1.953723	Nego	Cap2
xxx	ALB	-0.098585	-1.129328	0.973509	-0.692431	-1.921562	0.993992	-1.068066	-1.464183	0.074367	-1.028558	1.14377	0.703766	-1.231107	1.222386	0.681107	0.579832	Nego	War1
BGR	GRC	0.484662	-0.872078	1.548333	1.046059	-1.079594	1.164246	0.558214	0.454456	-0.134206	-1.228142	1.02498	-0.91089	-2.087337	0.956737	-1.40873	-1.838328	Nego	War1
BGR	TUR	0.484662	0.314002	0.649991	0.636238	0.273067	0.185169	0.150948	0.130481	-0.071586	-0.227002	0.084456	-0.215919	-1.191418	0.06721	-0.715373	-1.197582	Acq1	Acq1
SWE	GBR	-0.135367	-1.210468	1.003114	-1.050263	-2.138094	1.01291	-1.504279	-1.968093	0.308034	-0.959089	1.404492	1.191942	-1.049016	1.527686	1.270172	1.225208	Acq1	Acq1
SWE	FRA	-0.135367	-1.181267	0.970195	-1.087015	-2.137459	0.976126	-1.559181	-2.037277	0.519283	-0.783462	1.533327	1.371252	-0.853418	1.659224	1.462171	1.427193	Acq1	Acq1
SWE	DEU	-0.135367	-1.213962	1.007063	-1.031177	-2.131664	1.018203	-1.478888	-1.937739	0.195919	-1.030531	1.31706	1.108443	-1.119395	1.440398	1.187348	1.142916	Acq1	Acq1
SWE	xxx	-0.135367	-1.198745	0.989881	-1.074463	-2.14196	0.997568	-1.538383	-2.009991	0.488374	-0.828447	1.526397	1.314883	-0.918268	1.649605	1.39318	1.34827	Acq1	Acq1
SWE	RUS	-0.135367	-1.20364	0.995403	-1.066162	-2.141123	1.003866	-1.526441	-1.995182	0.604571	-0.756074	1.606219	1.33135	-0.872431	1.725835	1.392788	1.33461	Acq1	Acq1
GBR	NLD	0.365798	-0.927838	1.45168	1.129724	-1.063141	1.135375	0.745768	0.678117	-0.09453	-1.192402	1.048726	-0.987112	-2.100801	1.015219	-1.474819	-1.929018	Nego	Acq1
GBR	GRC	0.365798	-1.004824	1.503698	1.181452	-1.133284	1.18489	0.798415	0.734185	-0.044057	-1.227593	1.163778	-1.035804	-2.147393	1.134441	-1.525041	-1.984941	Nego	War1
FRA	GRC	0.635663	-0.771011	1.643236	1.358202	-0.889075	1.082622	0.738556	0.679524	-0.044057	-1.180944	1.115095	-1.071286	-2.133184	1.084736	-1.577765	-2.053885	Nego	War1
FRA	GRC	0.635663	-0.771011	1.643236	1.358202	-0.889075	1.082622	0.738556	0.679524	-0.044057	-1.180944	1.115095	-1.071286	-2.133184	1.084736	-1.577765	-2.053885	Nego	Cap2
DEU	USA	0.093808	-1.071989	1.212479	-0.392277	-1.774453	1.184568	-0.77142	-1.122652	-0.035725	-1.144767	1.090364	0.364313	-1.469603	1.027028	0.138559	-0.02386	Nego	War1
DEU	USA	0.093808	-1.071989	1.212479	-0.392277	-1.774453	1.184568	-0.77142	-1.122652	-0.035725	-1.144767	1.090364	0.364313	-1.469603	1.027028	0.138559	-0.02386	Nego	Acq1
DEU	PRT	0.093808	-1.131279	1.266605	0.173352	-1.587203	1.215567	-0.105649	-0.333611	0.249229	-1.044524	1.396331	-0.271966	-1.728013	1.36664	-0.643401	-0.985145	Nego	Cap1
ALB	DEU	0.117123	-1.058555	1.233445	-0.968332	-2.01919	1.228835	-1.45326	-1.933578	0.093808	-1.071989	1.212479	1.098757	-1.12177	1.101187	0.962575	0.937684	Nego	Cap2
ALB	xxx	0.117123	-1.040966	1.217685	-0.975239	-2.011866	1.214277	-1.464097	-1.949546	0.364917	-0.888799	1.423676	1.315917	-0.935398	1.312012	1.180952	1.157652	Nego	Cap2
ALB	BGR	0.117123	-1.040966	1.217685	-0.669849	-1.876657	1.198441	-1.106938	-1.524784	0.365831	-0.888211	1.424374	0.83581	-1.142716	1.33706	0.621244	0.493991	Nego	Cap2
ALB	TUR	0.117123	-1.022703	1.201286	-0.458714	-1.769109	1.171584	-0.861619	-1.234822	-0.008688	-1.096273	1.082826	0.479384	-1.373196	0.998137	0.256234	0.117773	Nego	Cap2
ROU	DEU	0.759163	0.053515	1.329652	0.493515	-0.601695	1.0679	-0.095843	-0.423447	0.093808	-0.535034	0.709271	-0.052557	-1.147286	0.414906	-0.653047	-0.959173	SQ	Cap2
USA	SWE	0.010246	-1.041484	1.057693	0.923199	-1.105554	1.048103	0.881574	0.849539	-0.088366	-1.099753	0.958437	-0.945977	-2.025038	0.957672	-1.409385	-1.872028	Nego	Cap2
GBR	NLD	0.132776	-1.058732	1.255504	0.766085	-1.270214	1.150808	0.555648	0.449907	-0.071878	-1.172839	1.06342	-0.730841	-1.975188	1.037176	-1.158258	-1.559433	Nego	Acq1
GBR	SWE	0.132776	-1.058732	1.255504	0.755816	-1.274652	1.151398	0.543749	0.435789	-0.088366	-1.181708	1.046892	-0.722848	-1.975812	1.019554	-1.147238	-1.54429	Nego	Cap2
USA	RUS	-0.033746	-1.055996	1.002023	0.538018	-1.281458	1.028161	0.451424	0.338693	0.617905	-0.62054	1.548351	-0.437587	-1.536186	1.551198	-0.892563	-1.350387	Nego	War1
GBR	RUS	0.303063	-0.914177	1.365053	0.449435	-1.3159	1.183737	0.067258	-0.133603	0.617905	-0.701447	1.591276	-0.393561	-1.567159	1.550578	-0.867114	-1.29997	Nego	War1
GBR	RUS	0.303063	-0.914177	1.365053	0.449435	-1.3159	1.183737	0.067258	-0.133603	0.617905	-0.701447	1.591276	-0.393561	-1.567159	1.550578	-0.867114	-1.29997	Nego	War1
GBR	RUS	0.303063	-0.914177	1.365053	0.449435	-1.3159	1.183737	0.067258	-0.133603	0.617905	-0.701447	1.591276	-0.393561	-1.567159	1.550578	-0.867114	-1.29997	Nego	Cap1
FRA	ALB	0.520906	-0.746956	1.513675	1.12386	-0.919392	1.082592	0.606559	0.520341	0.238011	-0.934694	1.295446	-0.749436	-1.851624	1.252174	-1.251173	-1.709638	Nego	Cap2
FRA	RUS	0.520906	-0.743147	1.51142	0.518707	-1.183459	1.219875	0.007006	-0.21315	0.617905	-0.673502	1.57667	-0.436834	-1.568325	1.521882	-0.939033	-1.386444	SQ	War1
FRA	RUS	0.520906	-0.743147	1.51142	0.518707	-1.183459	1.219875	0.007006	-0.21315	0.617905	-0.673502	1.57667	-0.436834	-1.568325	1.521882	-0.939033	-1.386444	SQ	War1
DEU	RUS	-0.027726	-1.091689	1.048301	0.488288	-1.353378	1.068771	0.377913	0.247069	0.617905	-0.673502	1.57667	-0.405507	-1.554402	1.579972	-0.842655	-1.283105	Nego	Cap2
ITA	ALB	0.491467	-0.767482	1.492945	1.142135	-0.922678	1.077752	0.649344	0.571746	0.238011	-0.934694	1.295446	-0.766972	-1.859487	1.258484	-1.26633	-1.728727	Nego	Cap2
ITA	RUS	0.491467	-0.763721	1.490641	0.517859	-1.195232	1.211247	0.02271	-0.193046	0.617905	-0.673502	1.57667	-0.438399	-1.56902	1.52532	-0.937507	-1.385266	Nego	War1
xxx	ALB	0.094681	-0.996226	1.144173	-0.441637	-1.737121	1.119641	-0.836617	-1.207065	0.238011	-0.906312	1.272606	0.530931	-1.246699	1.210153	0.298285	0.128091	Nego	Cap2
xxx	RUS	0.094681	-0.994187	1.142295	-0.848081	-1.925801	1.13582	-1.320363	-1.786169	0.617905	-0.641374	1.559591	1.109431	-0.845902	1.484275	0.931851	0.829586	Nego	War1
ROU	xxx	0.587274	-0.745497	1.583424	1.115776	-0.946298	1.114074	0.546026	0.445626	0.094681	-1.059109	1.201939	-0.876305	-1.97826	1.154458	-1.383361	-1.842936	Nego	War1
ROU	RUS	0.587274	-0.695814	1.556597	0.410359	-1.204708	1.268183	-0.132502	-0.386949	0.617905	-0.673502	1.57667	-0.402493	-1.553063	1.505939	-0.913004	-1.352784	SQ	War1
RUS	GBR	0.617905	-0.701447	1.591276	-0.471202	-1.601023	1.529224	-0.983042	-1.43283	0.303063	-0.914177	1.365053	0.668564	-1.219758	0.935967	0.086689	-0.066102	Nego	War1
RUS	EST	0.617905	-0.62054	1.548351	1.341713	-0.715814	0.989316	0.735041	0.687404	0.18965	-0.917709	1.214039	-0.876908	-1.898569	1.202213	-1.379164	-1.869594	Nego	War1
RUS	LTU	0.617905	-0.62054	1.548351	1.282519	-0.743106	1.00618	0.679064	0.617781	0.205757	-0.907351	1.228325	-0.855225	-1.882943	1.213243	-1.358102	-1.845899	Nego	War1
SWE	DEU	0.053892	-1.046965	1.130365	-0.73566	-1.90399	1.122659	-1.171878	-1.60039	-0.027726	-1.09462	1.051302	0.73516	-1.241942	1.00535	0.615546	0.541885	Nego	Nego
TUR	RUS	-0.075149	-1.107961	0.988985	0.178879	-1.494288	1.035102	0.031832	-0.161331	0.617905	-0.658326	1.568641	-0.132847	-1.422364	1.586373	-0.497134	-0.879153	Nego	Cap2
GBR	HUN	-0.095027	-1.121723	0.971125	0.637487	-1.281141	1.051003	0.637656	0.557947	0.393348	-0.819739	1.410676	-0.569837	-1.707696	1.421324	-1.003168	-1.447147	Acq2	War1
FRA	HUN	0.157101	-0.939905	1.186012	0.871581	-1.087809	1.052146	0.663765	0.589813	0.393348	-0.783942	1.385934	-0.675682	-1.73405	1.378096	-1.158574	-1.633627	Nego	War1
FRA	TUR	-0.377195	-1.323328	0.721994	0.614343	-1.375961	1.079337	0.945369	0.919053	0.276235	-0.963877	1.368362	-0.808256	-1.897151	1.393531	-1.249724	-1.716361	Acq2	War1
ESP	DEU	0.090663	-0.981569	1.124577	-0.808628	-1.899456	1.117133	-1.275016	-1.73396	0.17184	-0.93054	1.19933	0.905868	-1.068324	1.121159	0.758805	0.689914	Nego	Cap2
DEU	LVA	0.17184	-0.93054	1.19933	1.094298	-0.979854	1.035964	0.906275	0.881618	0.613213	-0.625825	1.546151	-0.605003	-1.616238	1.544504	-1.101856	-1.597063	Nego	War1
POL	LTU	0.245535	-0.883019	1.264231	0.890267	-1.057178	1.061458	0.600415	0.513335	0.561863	-0.664034	1.510952	-0.58587	-1.628097	1.502128	-1.076725	-1.558756	Nego	War1
xxx	POL	0.300494	-0.846791	1.3108	-0.327042	-1.605898	1.238413	-0.778982	-1.158536	0.245535	-0.883019	1.264231	0.167359	-1.393845	1.117237	-0.235048	-0.490461	SQ	War1
ITA	HUN	0.154603	-0.941488	1.183743	0.816095	-1.11448	1.055885	0.601741	0.515245	0.393348	-0.783942	1.385934	-0.654137	-1.724121	1.376686	-1.133475	-1.603564	Nego	War1
ITA	TUR	-0.36315	-1.316322	0.738492	0.613837	-1.376987	1.079612	0.924625	0.894293	0.276235	-0.963877	1.368362	-0.790334	-1.889467	1.395384	-1.226106	-1.688901	Acq2	War1
xxx	AUT	0.350043	-0.813518	1.351447	-0.172709	-1.517528	1.247838	-0.628323	-0.980328	0.323536	-0.831392	1.32986	-0.062814	-1.475775	1.205379	-0.509487	-0.831679	SQ	War1
GRC	TUR	-0.8086	-1.526687	0.157807	0.060246	-1.584604	0.919575	0.793056	0.764097	0.276235	-0.963877	1.368362	-0.634076	-1.822468	1.482706	-0.949028	-1.378323	Acq2	War1
RUS	POL	-0.155554	-1.127564	0.875472	0.482518	-1.323743	1.00051	0.509466	0.411377	0.245535	-0.881526	1.263029	-0.518567	-1.712279	1.289356	-0.907616	-1.322993	Acq2	War1
RUS	LVA	-0.155554	-1.127564	0.875472	0.828545	-1.150992	1.027382	0.968741	0.957027	0.613213	-0.624077	1.545198	-0.603928	-1.614789	1.546643	-1.097838	-1.593194	Acq2	War1
FIN	RUS	0.412816	-0.768881	1.400026	-0.737828	-1.754564	1.394115	-1.23658	-1.729421	-0.155554	-1.127564	0.875472	0.827195	-1.151666	0.472606	0.412278	0.400227	Nego	War1
GBR	RUS	-0.019826	-1.073566	1.042337	0.018593	-1.557399	1.052571	-0.213091	-0.455007	-0.061908	-1.098101	1.000117	0.00828	-1.570806	1.010571	-0.217619	-0.453971	Nego	War1
GBR	RUS	-0.019826	-1.073566	1.042337	0.018593	-1.557399	1.052571	-0.213091	-0.455007	-0.061908	-1.098101	1.000117	0.00828	-1.570806	1.010571	-0.217619	-0.453971	Nego	Acq1
GBR	TUR	-0.223766	-1.245291	0.895923	0.795715	-1.292091	1.109217	0.98561	0.96221	0.2873	-0.957088	1.377218	-0.858979	-1.915059	1.386622	-1.32856	-1.807546	Acq2	Cap2
FRA	TUR	-0.11948	-1.190249	1.006286	0.796069	-1.285953	1.114332	0.856263	0.808411	0.2873	-0.957088	1.377218	-0.790939	-1.885911	1.385722	-1.246846	-1.711257	Acq2	Cap2
DEU	FRA	0.168176	-0.948543	1.20956	-0.020056	-1.51831	1.137205	-0.377294	-0.662178	0.242302	-0.901362	1.274523	-0.124837	-1.544484	1.214505	-0.506417	-0.827978	SQ	Cap1
POL	LTU	0.181798	-0.922739	1.207027	0.975587	-1.031408	1.044985	0.75921	0.704875	0.416881	-0.766056	1.403176	-0.696051	-1.733784	1.397309	-1.185782	-1.669646	Nego	War1
ITA	ALB	0.144907	-0.946197	1.173651	1.133002	-0.965372	1.031523	0.981286	0.971699	0.506985	-0.702297	1.470809	-0.691892	-1.697509	1.470115	-1.190192	-1.687798	Nego	Cap2
ITA	TUR	-0.397063	-1.333193	0.698458	0.569965	-1.396439	1.070408	0.910293	0.87867	0.2873	-0.957088	1.377218	-0.767439	-1.875844	1.409477	-1.194558	-1.653936	Acq2	Cap2
GBR	DEU	-0.042607	-1.108664	1.042185	0.446535	-1.385601	1.072993	0.338874	0.200406	0.107277	-1.021053	1.185508	-0.465898	-1.76946	1.196227	-0.829382	-1.203585	Nego	Cap2
