"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
34,"SWITZERLAND","GERMANY",225,255,1940,0,0,1,1,0.5220960231062177,0.06812856091566481,0.3624757775947526,0.019455796498088495,0.027759113308531397,0.000034914012405765066,0.000049814564339338364,"SQ","WAR",0,1.,-1.13413,1.114316,-1.989194,1.116209,-0.808249,-0.013065,-1.233887,-1.661419,1.167029,-1.103168,1.178125,-1.25389,0.824859,0.042412,0.685232,0.760593
35,"UNITED STATES","RUSSIAN FEDERATION",2,365,1985,0,0,1,1,0.00550695494017918,0.06079538581587561,0.07755127313114694,0.0006599503216001858,0.00902403207530662,0.057685269619366576,0.788777134096525,"WAR","CAP1",0,1.,-1.73929,0.798197,-1.84641,1.443969,0.526382,-0.723246,1.118593,1.065034,1.452,-1.57827,1.944844,-1.896835,0.48666,-0.118561,0.660938,0.820221
36,"BULGARIA","TURKEY",355,640,1944,0,0,1,1,0.5221274332251093,0.0005104461483505047,0.47689589407569316,0.00020652213873545026,0.00024935059293712455,4.69054789068956e-6,5.663271283674036e-6,"SQ","WAR",0,1.,-0.718892,1.592526,-1.499936,1.45893,-0.212794,0.61015,-0.736911,-1.127434,0.882998,-1.224171,0.447837,-1.510967,0.278671,-0.216454,-0.443286,-0.299888
37,"GERMANY","GREECE",255,350,1896,0,0,1,1,0.21462578611348881,0.02257715562872798,0.6901934565868653,0.0028471075371928316,0.005152971953885277,0.02299141841434865,0.04161210376549116,"ACQ2","ACQ2",1,1.,-1.044318,1.267032,-1.19129,1.138888,0.92733,0.150222,0.725701,0.652215,1.19805,-1.088693,1.180753,-1.973551,-0.825392,0.07304,-1.727546,-1.285118
38,"GREECE","RUSSIAN FEDERATION",350,365,1922,0,0,1,1,0.49639550952953654,0.1099868481008936,0.3222224850132286,0.03740935411947138,0.03383092694175228,0.00008132789599446711,0.00007354839912307268,"SQ","SQ",1,1.,-0.922784,1.201084,-1.897568,1.196604,-0.869227,0.177657,-1.361099,-1.84849,0.985431,-1.062045,0.813663,-1.09519,0.917567,-0.047773,0.712654,0.729226
39,"UNITED KINGDOM","TURKEY",200,640,1925,0,0,1,1,0.14423374387337273,0.034788939268687986,0.6614392655011893,0.011855699595394783,0.022808568785101787,0.04270870632711666,0.08216507664913678,"ACQ2","NEGO",0,1.,-1.475661,1.089499,-1.496021,1.369865,1.037273,-0.286193,1.307459,1.297279,1.520903,-1.270122,1.528214,-2.244578,-1.198827,0.206443,-2.165972,-1.678744
40,"NORWAY","RUSSIAN FEDERATION",385,365,1969,0,0,1,1,0.3329304854916235,0.2603184746322658,0.22826811386554513,0.07480599820679279,0.09869789927634498,0.0021467022037964536,0.0028323263236312356,"SQ","CAP2",0,0.9999999999999999,-1.140684,1.917053,-2.065828,1.850546,-0.911792,0.888455,-1.440871,-1.903443,1.263073,-1.599304,0.644041,-1.902553,0.39506,-0.287406,-0.527221,-0.375596
41,"DENMARK","UNITED KINGDOM",390,200,1961,0,0,1,1,0.05856669753901106,0.5032821883893135,0.04567253654302011,0.16974247916064483,0.07472663046078629,0.10276756053443611,0.04524190737278801,"ACQ1","CAP2",0,1.,0.857297,0.859362,-0.103911,0.826066,0.857377,0.85833,0.343477,-0.137127,0.640419,0.638302,-0.184517,0.599397,0.640337,0.639361,-0.223505,-0.204052
42,"RUSSIAN FEDERATION","SWEDEN",365,380,1983,0,0,1,1,0.17901766916986267,0.04950920351162418,0.6043373344203345,0.000010218883233595717,0.000025031788526347775,0.048441089035434606,0.11865945319098407,"ACQ2","CAP1",0,1.,-1.132204,1.054051,-1.385232,1.091842,0.500866,-0.050592,0.412143,0.285628,0.897345,-1.214707,0.914428,-1.877053,-0.501563,-0.201552,-1.146827,-0.815654
43,"GREECE","ITALY",350,325,1916,0,0,1,1,0.5264645626094504,0.0846062196390812,0.3350797591011062,0.022632763199004226,0.028943223483150732,0.0009976532880138016,0.001275818680193412,"SQ","SQ",1,1.,-1.180944,1.115095,-2.145103,1.116674,-1.098651,-0.044057,-1.579152,-2.061231,1.460418,-0.950713,1.501879,-1.009644,1.318328,0.359852,1.300858,1.330324
