"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
335,"BULGARIA","GREECE",355,350,1940,0,0,1,1,0.10577203797556502,0.4532108170832122,0.08345029150794492,0.12255104767120739,0.081944089388793,0.09173371787746239,0.061337998495815206,"ACQ1","ACQ2",0,1.,0.410566,0.566315,-0.561647,0.552726,0.414893,0.489018,-0.084801,-0.570908,0.594464,0.438664,0.120679,0.407513,0.589611,0.517181,0.084675,0.10025
336,"GERMANY","FRANCE",255,220,1830,0,0,1,1,0.17182605140815524,0.11736049626721011,0.4223442265296813,0.027288042964648214,0.07187217414916748,0.05209621875430627,0.13721278992683142,"ACQ2","ACQ2",1,1.,-1.117999,1.19758,-1.7119,1.175804,-0.177645,0.053623,-0.496372,-0.793323,1.808213,-0.497404,1.798231,-1.311248,-0.068199,0.975513,-0.892026,-0.485104
337,"RUSSIAN FEDERATION","FINLAND",365,375,1954,0,0,1,1,0.35386907268367945,0.0024142941537270354,0.6393545959507623,5.175447574574113e-6,8.594761050119444e-6,0.0016342692059864825,0.002713997797220101,"ACQ2","ACQ2",1,1.,-0.681534,0.483693,-0.917469,0.564279,0.208775,-0.10547,0.171394,0.053426,0.684677,-0.528855,0.709927,-1.289453,-0.238333,0.083571,-0.973681,-0.593382
338,"None","None",300,345,1913,0,0,1,1,0.2573435022231998,0.0037248011380778575,0.7283889628439083,1.604201736290305e-6,2.400098839990159e-6,0.004222022755508052,0.006316706738729746,"ACQ2","ACQ2",1,1.,-0.835647,1.683392,-1.249349,1.304148,0.641263,0.646845,0.055168,-0.151683,1.367192,-1.114904,1.305003,-2.018761,-0.876268,0.180864,-1.842315,-1.390386
339,"HONDURAS","NICARAGUA",91,93,1920,0,0,1,1,0.20178532508173622,0.11086330323687493,0.4436207531950654,0.02586857916389156,0.06673459612612052,0.04221725892137918,0.10891018427493211,"ACQ2","ACQ2",1,1.,-0.845107,1.32367,-1.441128,1.197994,0.031033,0.311095,-0.392653,-0.690663,1.400827,-0.779808,1.327291,-1.543428,-0.264349,0.407479,-1.101505,-0.719695
340,"RUSSIAN FEDERATION","BULGARIA",365,355,1940,0,0,1,1,0.19477222922541082,0.020165468186069114,0.7114077083615075,0.0002672088021738669,0.00048652079579609953,0.025844484238685687,0.04705638039035693,"ACQ2","ACQ2",1,1.,-1.215863,1.35477,-1.541787,1.285479,0.516938,0.102794,0.284685,0.121723,1.630238,-1.008706,1.615057,-1.861026,-0.618985,0.489018,-1.486485,-1.060326
341,"UNITED KINGDOM","GREECE",200,350,1896,0,0,1,1,0.20444065657412416,0.025467296785336737,0.6847876349520997,0.0029205212774841083,0.0054797378072973715,0.026737296045162475,0.0501668565584955,"ACQ2","ACQ2",1,1.,-1.136907,1.156068,-1.281235,1.145105,0.825128,0.012811,0.742001,0.669837,1.211905,-1.103542,1.210217,-1.971738,-0.798357,0.07304,-1.668241,-1.234143
342,"FRANCE","BRAZIL",220,140,1826,0,0,1,1,0.19291856422356876,0.03144554529263413,0.6669273560511121,0.004606803557317297,0.009054279551946962,0.03205199275698274,0.062995458566438,"ACQ2","ACQ2",1,1.,-1.266723,0.9028,-1.325228,1.124068,0.775872,-0.235018,0.967887,0.938634,0.882019,-1.276333,0.914436,-2.138397,-0.978619,-0.253967,-1.808266,-1.377234
343,"None","GERMANY",345,255,1934,0,0,1,1,0.45924763142046554,0.14320354735579477,0.30305087109607104,0.04017537158864362,0.05018653356407859,0.0018389070426854147,0.002297137932260949,"SQ","ACQ2",0,1.,-0.522831,1.399774,-1.460077,1.365832,-0.402179,0.54087,-0.904744,-1.373367,1.497976,-0.415647,1.117847,-0.712836,0.929268,0.673092,0.25195,0.400545
344,"AUSTRIA","ITALY",305,325,1960,0,0,1,1,0.010869481411438581,0.41533405280244823,0.014633548335808471,0.04373229463734394,0.1732700177774736,0.06895534073434162,0.2732052643011456,"ACQ1","ACQ2",0,1.,-1.295677,0.907458,-1.967833,0.990497,-0.573392,-0.253288,-0.826431,-1.162509,1.741856,-0.65726,1.858291,-1.197565,0.445601,0.809486,0.021731,0.291883
345,"GERMANY","HAITI",255,41,1896,0,0,1,1,0.2007528829552803,0.033288837707547626,0.657012486341824,0.0016237328262453921,0.003221508380184967,0.034886082233758414,0.0692144695551594,"ACQ2","ACQ2",1,1.,-1.035743,1.259603,-1.22384,1.137637,0.827855,0.150222,0.61184,0.517791,0.567054,-1.381872,0.52761,-2.119298,-0.870135,-0.501657,-1.647005,-1.278292
346,"GERMANY","TURKEY",255,640,1876,0,0,1,1,0.21029336597118062,0.02301169659759508,0.691073126704856,0.0010163070688530124,0.0019263972375731073,0.025100819491515595,0.04757828692842662,"ACQ2","ACQ2",1,1.,-1.075194,1.280648,-1.306613,1.172599,0.735459,0.140582,0.511701,0.395991,1.151892,-1.153778,1.126049,-1.969949,-0.729929,-0.001266,-1.571943,-1.163858
347,"JAPAN","THAILAND",740,800,1940,0,0,1,1,0.3727004112757612,0.008457382730834795,0.6051109233897751,0.0008310516851020093,0.0011663052414793808,0.004882201361707732,0.006851724315339737,"ACQ2","ACQ2",1,1.,-0.072373,0.955423,-0.517329,0.697019,0.498099,0.465556,0.017217,-0.205261,0.27338,-0.650711,0.096336,-1.270425,-0.299292,-0.196326,-1.096051,-0.786194
