RowIndex,Agent1,Agent2,CountryCode1,CountryCode2,Year,Theta1,Theta2,Lambda1,Lambda2,Prob_SQ,Prob_ACQ1,Prob_ACQ2,Prob_NEGO,Prob_CAP1,Prob_CAP2,Prob_WAR,Prediction,GroundTruth,PredictionCorrect,TotalProbability,U1_Acq1,U1_Acq2,U1_Cap1,U1_Cap2,U1_Nego,U1_SQ,U1_War1,U1_War2,U2_Acq1,U2_Acq2,U2_Cap1,U2_Cap2,U2_Nego,U2_SQ,U2_War1,U2_War2
15,HONDURAS,FRANCE,91,220,1915,0,0,1,1,0.504198907,0.109443849,0.317450011,0.032961875,0.034744192,0.000584772,0.000616392,SQ,SQ,1,1,-1.155913,1.176447,-2.14199,1.176254,-1.123439,0.013904,-1.616671,-2.10971,1.208076,-1.137432,1.194386,-1.152808,1.172011,0.048064,1.142944,1.150632
16,NEW ZEALAND,UNITED KINGDOM,920,200,1978,0,0,1,1,0.000166226,0.484842362,0.000176502,0.150773424,0.240656101,0.047526402,0.075858983,ACQ1,SQ,0,1,-0.69389,1.087756,-1.398229,1.019164,-0.167128,0.231994,-0.587889,-0.940059,0.589691,-1.026771,0.424577,-1.315056,0.123689,-0.248997,-0.32971,-0.185568
17,GAMBIA,JAPAN,420,740,1991,0,0,1,1,0.123990834,0.203065489,0.255120729,0.08181209,0.05501426,0.168015291,0.112981307,ACQ2,SQ,0,1,-0.597514,1.723098,-1.581102,1.709737,-0.559427,0.81413,-1.064583,-1.556377,1.349893,-0.981843,0.631023,-1.098851,1.077061,0.250972,0.241183,0.299687
18,FRANCE,CYPRUS,220,352,1976,0,0,1,1,0.230540999,0.071766816,0.532062504,0.015916851,0.034983696,0.035876363,0.078852771,ACQ2,SQ,0,1,-0.63488,1.74545,-1.167679,1.360076,0.477212,0.824858,-0.174562,-0.440962,0.930894,-1.275028,0.664972,-1.952644,-0.563874,-0.224532,-1.507411,-1.168603
19,JAPAN,FRANCE,740,220,1910,0,0,1,1,0.104666907,0.310971583,0.147155072,0.052378215,0.141880942,0.065506024,0.177441258,ACQ1,SQ,0,1,-0.884009,0.884604,-1.54024,0.884485,-0.276015,0.000349,-0.60425,-0.932366,1.257907,-0.598168,1.257725,-1.075223,0.372457,0.397205,-0.10478,0.133747
20,ECUADOR,COLOMBIA,130,100,1867,0,0,1,1,0.519066532,0.063949645,0.371245869,0.019400218,0.026309889,1.18189E-05,1.60283E-05,SQ,SQ,1,1,-1.074085,1.221335,-1.923679,1.206494,-0.72884,0.098673,-1.168478,-1.593275,1.136732,-1.125524,1.054886,-1.296059,0.750938,0.007422,0.498556,0.583824
21,None,GERMANY,345,255,1939,0,0,1,1,0.446236668,0.074333497,0.410970867,0.013324554,0.033557601,0.006132427,0.015444386,SQ,SQ,1,1,-0.749404,1.468104,-1.517147,1.356704,-0.234373,0.479642,-0.729644,-1.113516,1.218852,-0.952929,0.992489,-1.480987,0.072027,0.172026,-0.682394,-0.418365
22,COLOMBIA,ITALY,100,325,1897,0,0,1,1,0.24264073,0.237835942,0.262359292,0.026894833,0.094151075,0.030243685,0.105874444,ACQ2,SQ,0,1,-1.206412,0.804015,-1.927237,0.873574,-0.645151,-0.249158,-0.936005,-1.296418,1.199708,-0.978935,1.384318,-1.237997,0.635304,0.142979,0.560852,0.690383
23,SAINT KITTS AND NEVIS,CHINA,60,710,1986,0,0,1,1,0.029536065,0.334643657,0.051566926,0.033195218,0.149149449,0.07316609,0.328742595,ACQ1,SQ,0,1,-1.316829,1.153217,-1.936298,1.19744,-0.3769,-0.116214,-0.642412,-0.952147,1.362323,-1.205276,1.434487,-1.584321,0.389089,0.116127,0.082208,0.27173
24,RUSSIAN FEDERATION,MAURITIUS,365,590,1991,0,0,1,1,0.228625499,0.021260929,0.686292133,0.002364602,0.004225779,0.020534273,0.036696785,ACQ2,SQ,0,1,-0.968342,1.214375,-1.105431,1.076654,0.915148,0.159601,0.708882,0.640338,0.908803,-1.152571,0.886956,-2.015682,-0.870393,-0.152637,-1.755352,-1.323796
