Agent1,Agent2,wrTu1sq,wrTu1ac1,wrTu1ac2,wrTu1neg,wrTu1cp1,wrTu1cp2,wrTu1wr1,wrTu1wr2,wrTu2sq,wrTu2ac2,wrTu2ac1,wrTu2neg,wrTu2cp2,wrTu2cp1,wrTu2wr2,wrTu2wr1,groundtruth
PAN,GBR,0.26653,-1.645143,1.826696,-1.160737,-2.505619,1.789508,-1.628162,-2.0584,0.698784,-1.530817,1.940955,-0.297571,-2.175596,1.846278,-0.714637,-1.037027,SQ
xxx,DNK,0.553553,-0.854722,1.608098,1.383419,-0.94595,1.105045,0.834752,0.789138,0.267271,-1.030904,1.408042,-0.952585,-1.998792,1.390266,-1.454305,-1.938249,SQ
URY,CHN,-0.362084,-1.430549,0.899666,-0.262466,-1.929272,1.081171,-0.330322,-0.579684,0.280658,-1.127154,1.494698,0.329247,-1.571668,1.695831,0.308122,0.085865,SQ
ESP,MAR,0.809463,-0.650957,1.739509,0.126808,-1.325596,1.476141,-0.473879,-0.811199,-0.581245,-1.447359,0.509614,-0.264753,-1.843055,0.020453,-0.951762,-1.149611,SQ
RUS,xxx,0.099396,-1.19344,1.330309,0.929293,-1.352336,1.246707,0.766243,0.686794,-0.383391,-1.419862,0.846599,-0.7867,-2.140501,0.818832,-1.174786,-1.535105,SQ
TTO,GBR,0.714732,-1.439736,1.925305,-1.117034,-2.343838,1.856763,-1.637627,-2.089677,0.603479,-1.4779,1.900069,-0.652556,-2.233568,1.725438,-1.205022,-1.582856,SQ
BEL,NLD,0.8942,0.893174,0.895225,0.894225,0.405343,0.437244,0.192328,-0.051588,0.922866,0.921847,0.923885,0.922839,0.408766,0.488482,0.230896,-0.025645,SQ
COL,USA,-0.583942,-0.926592,-0.212201,-0.600203,-1.469715,0.054588,-0.604975,-0.876537,-0.507128,-0.864117,-0.123536,-0.286155,-1.0837,0.332182,0.059772,-0.050019,SQ
PRT,RUS,0.224399,-1.009204,1.337109,-0.508618,-1.795854,1.289233,-0.949818,-1.343143,0.241795,-0.998839,1.351397,0.460846,-1.377759,1.212027,0.132016,-0.057443,SQ
BRB,FRA,-0.194134,-1.693148,1.512848,-0.071209,-2.18724,1.611062,-0.220041,-0.467087,0.917241,-1.362236,1.959054,-0.905449,-2.224703,1.985753,-1.309983,-1.741216,SQ
FRA,xxx,0.804553,-1.408981,1.942449,-0.001766,-1.989096,1.604629,-0.629643,-0.919701,-0.562431,-1.771007,1.162733,-0.372595,-2.294342,0.779231,-1.017765,-1.279433,SQ
FRA,USA,0.61245,-0.251581,1.319722,-0.083104,-1.14436,1.254054,-0.595161,-1.04155,-0.583703,-1.155241,0.074913,-0.047937,-1.255107,-0.476374,-0.649158,-0.699091,SQ
xxx,BEL,0.633483,-0.734873,1.623527,0.640237,-1.151804,1.254163,0.062408,-0.146058,-0.050058,-1.157149,1.080988,-0.688254,-1.947647,0.948271,-1.216219,-1.611468,SQ
CHN,ZMB,0.173417,-0.911403,1.185122,0.911084,-1.042114,1.034373,0.694979,0.629624,-0.620513,-1.369962,0.304691,-1.037189,-2.171251,0.270231,-1.472293,-1.872937,SQ
GBR,IND,-0.457116,-1.372278,0.639912,0.292677,-1.544844,1.018146,0.584627,0.498344,-0.208675,-1.248676,0.925797,-0.258831,-1.793464,1.133881,-0.32314,-0.595534,SQ
RUS,THA,0.237234,-1.077041,1.406783,-0.280164,-1.756214,1.330672,-0.695861,-1.035448,0.352016,-1.011423,1.492885,-0.081607,-1.640137,1.404803,-0.484046,-0.798403,SQ
RUS,DNK,0.191766,-0.941794,1.237409,0.951266,-1.073101,1.070823,0.719027,0.653374,0.474056,-0.754752,1.464928,-0.680052,-1.721099,1.458475,-1.169679,-1.652852,SQ
GBR,EGY,0.704059,-1.691083,1.971085,-0.912602,-2.478509,1.821421,-1.45598,-1.849693,-0.510651,-1.869324,1.478416,0.52478,-2.154184,0.974915,-0.12115,-0.26358,SQ
RUS,HND,0.048409,-1.038333,1.113788,0.709993,-1.225959,1.074461,0.576853,0.483039,-0.618358,-1.400509,0.35719,-0.909697,-2.121273,0.343672,-1.283597,-1.643979,SQ
USA,LVA,0.074711,-1.016501,1.13299,0.999098,-1.078791,1.062933,0.897897,0.866751,0.048133,-1.032504,1.107774,-0.926367,-1.982914,1.10407,-1.405277,-1.880482,SQ
GBR,DNK,0.172686,-1.05771,1.30888,1.011696,-1.183285,1.157879,0.797908,0.735121,0.022911,-1.14143,1.175432,-0.910549,-2.041777,1.158224,-1.377931,-1.828105,SQ
TUN,DEU,-0.209463,-1.24657,0.921925,-0.879587,-2.077336,0.957374,-1.259521,-1.674904,-0.316651,-1.301101,0.802995,0.604483,-1.395446,0.992696,0.747011,0.699838,SQ
CUB,CHN,-0.072321,-1.074638,0.958228,-1.053888,-2.064431,0.958967,-1.548047,-2.042943,0.405694,-0.768407,1.390764,1.361018,-0.782183,1.462089,1.425455,1.418566,SQ
USA,TGO,0.341398,-0.845198,1.363313,0.452668,-1.257533,1.162685,0.045873,-0.160294,-0.468734,-1.318605,0.539422,-0.439865,-1.845662,0.37796,-0.864855,-1.128384,SQ
GTM,GBR,-0.00696,-1.076612,1.065729,-0.952852,-2.018843,1.066131,-1.423566,-1.894681,0.23944,-0.927004,1.291212,1.125219,-1.001836,1.297651,1.094242,1.056826,SQ
TUR,JPN,0.251218,-1.427884,1.677518,-0.876725,-2.2504,1.632931,-1.33257,-1.743828,0.389378,-1.375656,1.748968,0.221185,-1.864606,1.620583,-0.151675,-0.39615,SQ
NOR,FRA,0.822399,0.82136,0.823438,0.821458,-0.131855,0.784962,0.306374,-0.170233,0.831791,0.830754,0.832828,0.832731,0.78382,0.049027,0.025463,0.001996,SQ
BRA,URY,-0.067799,-1.087741,0.979562,0.738369,-1.204411,1.039451,0.739922,0.681587,-0.20544,-1.166799,0.833915,-0.768628,-1.967785,0.847408,-1.155627,-1.55612,SQ
CHN,MNG,0.142689,-1.015962,1.231822,0.339404,-1.412983,1.145784,0.054855,-0.143656,0.284834,-0.928857,1.352724,-0.322659,-1.663165,1.314813,-0.727724,-1.094877,SQ
HND,RUS,0.675202,-0.898292,1.733222,-0.546571,-1.764635,1.642977,-1.069988,-1.503159,0.351321,-1.089125,1.544076,-0.186494,-1.746336,1.312625,-0.746551,-1.075156,SQ
xxx,FRA,0.618992,-0.792775,1.638414,-0.081223,-1.500099,1.457249,-0.616049,-0.969711,1,-0.504239,1.825676,-0.245839,-1.393333,1.757026,-0.759036,-1.203583,SQ
RUS,NLD,0.386353,-0.847479,1.421151,0.739649,-1.147881,1.150859,0.319157,0.168956,0.000369,-1.085536,1.086108,-0.676309,-1.897095,1.013303,-1.154894,-1.560673,SQ
CHN,SAU,0.16398,-0.936277,1.192881,0.945978,-1.05224,1.047917,0.743032,0.685051,-0.148695,-1.125446,0.884883,-0.895611,-2.011119,0.866135,-1.357195,-1.800031,SQ
GHA,TGO,-0.55613,-0.578431,-0.533723,-0.543007,-0.786083,-0.093074,-0.206184,-0.31001,0.257847,0.22953,0.286087,0.241464,-0.559471,0.40343,-0.035694,-0.430194,SQ
ISL,FRA,0.887672,0.886645,0.888699,0.886645,-0.113109,0.88848,0.38655,-0.113327,0.800595,0.799553,0.801637,0.801637,0.799306,-0.085815,-0.08594,-0.086063,SQ
PER,COL,-0.056403,-0.05739,-0.055416,-0.056432,-0.571839,-0.02803,-0.28627,-0.543494,0.041663,0.040654,0.042672,0.041692,-0.444888,0.071689,-0.172062,-0.414833,SQ
GBR,IRN,0.729142,0.315212,1.095515,0.600751,-0.318855,0.828698,0.0169,-0.300134,0.32151,-0.078055,0.702646,0.261189,-0.643517,0.385806,-0.338382,-0.621113,SQ
DOM,FRA,0.628572,-1.469529,1.906224,-1.114079,-2.364234,1.840038,-1.627617,-2.07497,0.917241,-1.362236,1.959054,-0.877425,-2.216265,1.867301,-1.396192,-1.823207,SQ
KHM,LAO,0.096339,-0.96753,1.120223,0.124931,-1.444259,1.069812,-0.163844,-0.402208,0.10174,-0.964142,1.125306,-0.189334,-1.593323,1.089582,-0.539648,-0.854238,SQ
PAK,IRN,-0.003435,-0.033945,0.027077,-0.017121,-0.758243,0.028024,-0.378323,-0.740472,-0.036083,-0.066361,-0.005794,-0.022334,-0.339439,-0.003298,-0.156376,-0.292915,SQ
USA,LTU,-0.378303,-1.272807,0.651284,0.325084,-1.442342,0.965452,0.554485,0.469718,0.122301,-0.987503,1.1772,-0.476803,-1.751582,1.26645,-0.769592,-1.151631,SQ
ROU,xxx,0.721356,-0.212046,1.441177,1.149409,-0.38853,0.847129,0.467119,0.378877,0.420376,-0.468752,1.195167,-0.341119,-1.392046,1.139834,-0.858098,-1.319745,SQ
COL,USA,-0.17384,-1.145155,0.863914,-1.142184,-2.143677,0.864171,-1.641187,-2.140448,-0.342633,-1.239269,0.674294,0.673446,-1.239712,0.848056,0.846987,0.846766,SQ
ITA,ESP,0.670288,-0.532483,1.557966,0.110618,-1.224846,1.351761,-0.441769,-0.78795,0.337918,-0.778187,1.309371,-0.229342,-1.515275,1.133144,-0.774113,-1.142657,SQ
ECU,BRA,0.172289,-1.083433,1.329981,-0.859667,-1.990715,1.314007,-1.329283,-1.782924,-0.049246,-1.202907,1.13017,0.857833,-1.319635,0.977992,0.647291,0.588927,SQ
